Timestamp,PID,RSS,CPU,MEM%,Elapsed_Time
2024-10-14 11:58:59,75882,156464,47.1,0.4,00:02
2024-10-14 11:59:09,75882,158608,10.3,0.4,00:12
2024-10-14 11:59:19,75882,158608,7.0,0.4,00:22
2024-10-14 11:59:29,75882,158608,5.5,0.4,00:32
2024-10-14 11:59:39,75882,154932,4.3,0.4,00:42
2024-10-14 11:59:49,75882,183540,4.9,0.5,00:52
2024-10-14 11:59:59,75882,165620,5.5,0.5,01:02
2024-10-14 12:00:09,75882,165620,5.2,0.5,01:12
2024-10-14 12:00:19,75882,165620,4.9,0.5,01:22
2024-10-14 12:00:29,75882,165876,4.6,0.5,01:32
2024-10-14 12:00:39,75882,166132,4.3,0.5,01:42
2024-10-14 12:00:50,75882,170868,4.1,0.5,01:52
2024-10-14 12:01:00,75882,177268,4.0,0.5,02:02
2024-10-14 12:01:10,75882,180724,4.0,0.5,02:12
2024-10-14 12:01:20,75882,180724,3.9,0.5,02:22
2024-10-14 12:01:30,75882,180724,3.8,0.5,02:32
2024-10-14 12:01:40,75882,180980,3.6,0.5,02:42
2024-10-14 12:01:50,75882,180980,3.5,0.5,02:52
2024-10-14 12:02:00,75882,181108,3.5,0.5,03:02
2024-10-14 12:02:10,75882,180596,3.4,0.5,03:12
2024-10-14 12:02:20,75882,180724,3.4,0.5,03:22
2024-10-14 12:02:30,75882,181108,3.4,0.5,03:32
2024-10-14 12:02:40,75882,181236,3.3,0.5,03:42
2024-10-14 12:02:50,75882,181236,3.3,0.5,03:52
2024-10-14 12:03:00,75882,181620,3.2,0.5,04:02
2024-10-14 12:03:10,75882,181748,3.2,0.5,04:12
2024-10-14 12:03:20,75882,181748,3.1,0.5,04:22
2024-10-14 12:03:30,75882,181748,3.1,0.5,04:32
2024-10-14 12:03:40,75882,181748,3.0,0.5,04:42
2024-10-14 12:03:50,75882,184308,3.0,0.5,04:52
2024-10-14 12:04:00,75882,184052,3.0,0.5,05:02
2024-10-14 12:04:10,75882,183916,3.0,0.5,05:12
2024-10-14 12:04:20,75882,183916,3.0,0.5,05:22
2024-10-14 12:04:30,75882,184300,3.0,0.5,05:32
2024-10-14 12:04:40,75882,184428,3.0,0.5,05:42
2024-10-14 12:04:50,75882,184684,3.0,0.5,05:52
2024-10-14 12:05:00,75882,184684,3.0,0.5,06:02
2024-10-14 12:05:10,75882,185708,3.0,0.5,06:12
2024-10-14 12:05:20,75882,185836,3.0,0.5,06:22
2024-10-14 12:05:30,75882,186092,3.0,0.5,06:33
2024-10-14 12:05:40,75882,186220,2.9,0.5,06:43
2024-10-14 12:05:50,75882,186476,2.9,0.5,06:53
2024-10-14 12:06:00,75882,186476,2.9,0.5,07:03
2024-10-14 12:06:10,75882,185708,2.9,0.5,07:13
2024-10-14 12:06:20,75882,185708,2.9,0.5,07:23
2024-10-14 12:06:30,75882,185836,2.9,0.5,07:33
2024-10-14 12:06:40,75882,186092,2.9,0.5,07:43
2024-10-14 12:06:50,75882,186220,2.9,0.5,07:53
2024-10-14 12:07:00,75882,186220,2.9,0.5,08:03
2024-10-14 12:07:10,75882,186092,2.9,0.5,08:13
2024-10-14 12:07:20,75882,185936,2.9,0.5,08:23
2024-10-14 12:07:30,75882,186064,2.9,0.5,08:33
2024-10-14 12:07:40,75882,186192,2.9,0.5,08:43
2024-10-14 12:07:51,75882,186192,2.9,0.5,08:53
2024-10-14 12:08:01,75882,186064,2.9,0.5,09:03
2024-10-14 12:08:11,75882,187344,2.9,0.5,09:13
2024-10-14 12:08:31,75882,187344,2.9,0.5,09:33
2024-10-14 12:08:41,75882,187472,2.9,0.5,09:43
2024-10-14 12:08:51,75882,187472,2.9,0.5,09:53
2024-10-14 12:09:01,75882,187472,2.9,0.5,10:03
2024-10-14 12:09:11,75882,187308,2.9,0.5,10:13
2024-10-14 12:09:21,75882,187436,2.9,0.5,10:23
2024-10-14 12:09:31,75882,187692,2.9,0.5,10:33
2024-10-14 12:09:41,75882,187820,2.9,0.5,10:43
2024-10-14 12:09:51,75882,187948,2.9,0.5,10:53
2024-10-14 12:10:01,75882,187820,2.9,0.5,11:03
2024-10-14 12:10:11,75882,187664,2.9,0.5,11:13
2024-10-14 12:10:21,75882,187664,2.9,0.5,11:23
2024-10-14 12:10:31,75882,187664,2.9,0.5,11:33
2024-10-14 12:10:41,75882,187920,2.9,0.5,11:43
2024-10-14 12:10:51,75882,188048,2.9,0.5,11:53
2024-10-14 12:11:01,75882,188176,2.9,0.5,12:03
2024-10-14 12:11:11,75882,187408,2.9,0.5,12:13
2024-10-14 12:11:21,75882,187664,2.9,0.5,12:23
2024-10-14 12:11:31,75882,187664,2.9,0.5,12:33
2024-10-14 12:11:41,75882,187792,2.9,0.5,12:43
2024-10-14 12:11:51,75882,188048,2.9,0.5,12:53
2024-10-14 12:12:01,75882,188048,2.9,0.5,13:03
2024-10-14 12:12:11,75882,187408,2.9,0.5,13:13
2024-10-14 12:12:21,75882,187536,2.9,0.5,13:23
2024-10-14 12:12:31,75882,187664,2.9,0.5,13:34
2024-10-14 12:12:41,75882,187792,2.9,0.5,13:44
2024-10-14 12:12:51,75882,187920,2.8,0.5,13:54
2024-10-14 12:13:01,75882,188048,2.8,0.5,14:04
2024-10-14 12:13:11,75882,187408,2.8,0.5,14:14
2024-10-14 12:13:21,75882,187536,2.8,0.5,14:24
2024-10-14 12:13:31,75882,187536,2.8,0.5,14:34
2024-10-14 12:13:41,75882,187664,2.8,0.5,14:44
2024-10-14 12:13:51,75882,187664,2.8,0.5,14:54
2024-10-14 12:14:01,75882,187920,2.8,0.5,15:04
2024-10-14 12:14:11,75882,187920,2.8,0.5,15:14
2024-10-14 12:14:21,75882,187280,2.8,0.5,15:24
2024-10-14 12:14:31,75882,187536,2.8,0.5,15:34
2024-10-14 12:14:41,75882,187792,2.8,0.5,15:44
2024-10-14 12:14:52,75882,187920,2.8,0.5,15:54
2024-10-14 12:15:02,75882,187920,2.8,0.5,16:04
2024-10-14 12:15:12,75882,187152,2.7,0.5,16:14
2024-10-14 12:15:22,75882,187152,2.7,0.5,16:24
2024-10-14 12:15:32,75882,187152,2.7,0.5,16:34
2024-10-14 12:15:42,75882,187536,2.7,0.5,16:44
2024-10-14 12:15:52,75882,187664,2.7,0.5,16:54
2024-10-14 12:16:02,75882,187664,2.7,0.5,17:04
2024-10-14 12:16:12,75882,187280,2.7,0.5,17:14
